"Izdatki gospodinjstev za koncno potro?njo po vrsti proizvodov in namenu, Slovenija, letno",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSAKCIJE,MERITVE,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
..Oblacila,Tekoce cene (mio EUR),308.7,336.8,377.7,419.0,480.0,501.7,575.7,602.5,649.3,668.3,683.2,675.1,795.4,829.1,866.5,898.7,918.3,898.7,832.8,914.1,899.6,1051.3,1032.3,1060.2,...
..Oblacila,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),4.8,4.6,4.6,4.7,4.8,4.6,4.8,4.5,4.5,4.4,4.2,4.0,4.3,4.1,4.2,4.2,4.2,4.1,3.9,4.2,4.1,4.6,4.3,4.2,-
..Oblacila,Stalne cene predhodnega leta (mio EUR),...,315.9,352.7,396.1,452.4,468.8,563.2,589.4,611.9,655.7,696.2,680.5,778.4,799.1,872.5,928.2,938.0,906.2,831.9,928.1,906.7,1065.8,1035.2,1043.7,...
..Oblacila,"Stalne cene, referencno leto 2010 (mio EUR)",474.8,485.8,508.6,533.3,575.9,562.5,631.5,646.5,656.6,663.1,690.9,688.2,793.5,797.2,838.9,898.7,938.0,925.6,856.9,955.0,947.3,1122.3,1105.1,1117.3,...
..Oblacila,Letna sprememba obsega (%),...,2.3,4.7,4.9,8.0,-2.3,12.3,2.4,1.6,1.0,4.2,-0.4,15.3,0.5,5.2,7.1,4.4,-1.3,-7.4,11.5,-0.8,18.5,-1.5,1.1,...
..Obutev,Tekoce cene (mio EUR),83.3,93.0,102.4,116.3,130.4,152.1,173.5,190.9,217.5,198.1,202.9,201.5,240.9,271.5,268.5,281.1,288.5,282.7,217.2,221.2,227.5,249.8,260.8,285.5,...
..Obutev,Tekoce cene (% od izdatkov gospodinjstev za koncno potro?njo po domacem konceptu),1.3,1.3,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.3,1.3,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.0,1.0,1.0,1.1,1.1,1.1,-
..Obutev,Stalne cene predhodnega leta (mio EUR),...,88.8,97.4,109.5,122.7,143.0,172.3,179.7,203.7,196.7,199.1,200.4,236.4,254.3,271.1,284.6,288.2,276.7,218.6,223.0,232.3,240.9,253.0,287.2,...
..Obutev,"Stalne cene, referencno leto 2010 (mio EUR)",138.1,147.2,154.2,164.9,174.0,190.8,216.2,223.9,238.9,216.1,217.1,214.4,251.5,265.5,265.2,281.1,288.2,276.4,213.7,219.4,230.5,244.0,247.2,272.2,...
..Obutev,Letna sprememba obsega (%),...,6.6,4.7,6.9,5.6,9.7,13.3,3.6,6.7,-9.5,0.5,-1.3,17.3,5.6,-0.1,6.0,2.5,-4.1,-22.7,2.7,5.0,5.9,1.3,10.1,...
"Stanovanja, voda, elektricna energija, plin in druga goriva",Tekoce cene (mio EUR),1148.9,1351.1,1516.7,1666.1,1853.3,2084.9,2328.2,2515.7,2646.9,2864.7,3101.6,3242.1,3420.9,3778.7,4095.7,4217.7,4255.4,4271.2,4369.1,4270.5,4350.6,4443.2,4559.8,4769.9,...
